pagina,contenuto,link,to_be_done
Home,"Landing principale Abra Robotics. Hero video, cosa facciamo (hardware/assessment/software), processo, prodotti, brand distribuiti, FAQ, contatti.",https://niccolomazzoleni-prog.github.io/Abra-Robotics/,"Verificare allineamento copy con i nuovi verticali. Aggiungere link diretti a /manifattura-logistica, /universita-ricerca, /assessment."
Manifattura e Logistica,"Landing verticale PMI manifatturiere. 4 sezioni: Cobot (Fairino FR5/FR10/FR20 con video YouTube palletizzazione), AMR (HikRobot LMR + Enabled Robotics MC250), Ispezione (Unitree Go2 EDU+ + B2), Embodied AI (G1-D + R1-D). KPI strip, ROI box, honesty block. Foto self-hosted con sfondo trasparente.",https://niccolomazzoleni-prog.github.io/Abra-Robotics/manifattura-logistica.html,"Verificare specs HikRobot LMR e MC250 (descrizioni basate su info pubbliche). Sostituire q2400 con shot HikRobot LMR ufficiale risoluzione maggiore. Confermare se G1-D e R1-D sono il framing corretto (vs G1 EDU / R1 EDU). Aggiungere prezzi se condivisibili (oggi tutti in commenti HTML)."
Universita e Ricerca,"Landing verticale universita/laboratori con prezzi da € su card G1 EDU, R1 EDU, Go2 EDU+, A2, B2.",https://niccolomazzoleni-prog.github.io/Abra-Robotics/universita-ricerca.html,"Listino parziale: H2 EDU senza prezzo (H1 nel listino). Self-host foto Unitree. Aggiungere percorsi formativi in navbar."
Assessment e POC,"Pagina servizio. Spiega il processo in 4 fasi (mappatura, benchmarking soluzioni, simulazione 3D con Isaac Sim/MuJoCo, co-design POC + copertura normativa). Outcomes 2x2, audience 2x2, honesty section, timeline 5-9 settimane, FAQ accordion 6 domande.",https://niccolomazzoleni-prog.github.io/Abra-Robotics/assessment.html,"Aggiungere case study reali (es. POC fatti) se condivisibili. Diagramma visuale dei 4 step (oggi solo numerati testuali). Eventuale video introduttivo. Confermare elenco normative citato (ISO 10218, ISO/TS 15066, ISO 3691-4, Reg UE 2023/1230)."
Prodotto Unitree G1,"Scheda tecnica G1 Base (G1 AIR) con gallery, buy-box prezzo listino €23.997,41, specs, form.",https://niccolomazzoleni-prog.github.io/Abra-Robotics/prodotti/unitree-g1.html,"Listino: G1-AIR pubblicato. Aggiungere G1-D quando esce listino IT."
Prodotto Unitree Go2 EDU+,"Scheda Go2 EDU+ mappata su GO2 EDU SMART, prezzo €15.450,06.",https://niccolomazzoleni-prog.github.io/Abra-Robotics/prodotti/unitree-go2-edu-plus.html,"Listino pubblicato. Confermare SMART vs ULTIMATE per EDU+ 100 TOPS."
Prodotto Unitree R1 EDU,"Scheda R1 EDU Standard mappata su R1-U1, prezzo €16.461,24.",https://niccolomazzoleni-prog.github.io/Abra-Robotics/prodotti/unitree-r1-edu.html,"Listino pubblicato. Variante Pro (R1-U3+) su richiesta."
Listino Unitree pubblico,"Tabella filtrabile solo End-User, no Gold.",https://niccolomazzoleni-prog.github.io/Abra-Robotics/listino-unitree.html,"Generato da scripts/genera_prezzi.py."
Catalogo Unitree,"85 prodotti con prezzo, link a schede, pronto Stripe.",https://niccolomazzoleni-prog.github.io/Abra-Robotics/catalogo-unitree.html,"Generato da scripts/genera_catalogo_completo.py."
Admin listini,"Dashboard interna copertura prezzi, noindex.",https://niccolomazzoleni-prog.github.io/Abra-Robotics/admin/listini.html,"Disallow in robots.txt. Caricare CSV master locale per Gold."
